,p1,p3,p4,p6,p13,p16,p19,p21,p23,p25,s18,s19,s20,s22,s23,s25,s27,s29,sA,sB,sC,sD,sE,sF,sG,w22,w23,w25,w27,w29,wA,wB,wC,wD
Corycaeus ( Urochocorycaeus) longistylis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0,0
Farranula carinata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farranula gibbula,0,0,0,0,0,0,0,0,27.02,0,0,0,0,0,0,0,42.02,0,15.88,57.9,38.7,13.54,54.92,0,12.7,0,0,0,0,0,0,0,0,0
Farranula rostrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.23,0,28.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeidae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corycaeidae copepodid,0,0,0,0,112.14,42.46,23.18,0,27.02,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubbockia aculeata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubbockia squillimana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0,0
Oncaea conifera,0,0,0,0,0,0,11.59,0,0,0,58.92,38,0,40.43,196.76,63.32,21.01,0,63.52,347.4,154.8,54.16,109.84,554.26,0,7.162,0,0,0.4606,0,0,0.497,0.2574,0.4667
Oncaea media,0,0,0,0,0,0,0,0,13.51,0,0,0,0,0,49.19,189.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.2574,0.4667
Oncaea mediterranea,0,0,0,0,12.46,0,11.59,0,13.51,0,0,0,0,0,0,0,0,0,0,28.95,0,13.54,0,0,0,0,0,0,0,0,0,0.994,0,0.9334
Oncaea minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.88,28.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncaea similis,0,0,0,0,0,0,11.59,0,0,0,0,0,0,0,0,0,0,0,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncaea venusta,0,0,0,17.1,74.76,63.69,69.54,0,81.06,28.8,294.6,114,45.24,202.15,737.85,253.28,147.07,48.23,222.32,607.95,116.1,148.94,823.8,1346.06,25.4,0,0,0.8067,1.8424,0.8348,0.1852,3.976,1.287,2.3335
Oncaea sp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncaea sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copilia mirabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corina granulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina auronitens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina gemma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina iris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina metallina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina ovatolanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sapphirina stellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontoeciella abyssicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ratania sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
